都道府県市区町村コード,市区町村名,基準メッシュコード,備考
32201,松江市,53331143,
32201,松江市,53331144,
32201,松江市,53331150,
32201,松江市,53331151,
32201,松江市,53331152,
32201,松江市,53331153,
32201,松江市,53331154,
32201,松江市,53331155,
32201,松江市,53331156,
32201,松江市,53331160,
32201,松江市,53331161,
32201,松江市,53331162,
32201,松江市,53331163,
32201,松江市,53331164,
32201,松江市,53331165,
32201,松江市,53331166,
32201,松江市,53331170,
32201,松江市,53331171,
32201,松江市,53331172,
32201,松江市,53331173,
32201,松江市,53331174,
32201,松江市,53331175,
32201,松江市,53331176,
32201,松江市,53331177,
32201,松江市,53331180,
32201,松江市,53331181,
32201,松江市,53331182,
32201,松江市,53331183,
32201,松江市,53331184,
32201,松江市,53331185,
32201,松江市,53331186,
32201,松江市,53331187,
32201,松江市,53331190,
32201,松江市,53331191,
32201,松江市,53331192,
32201,松江市,53331193,
32201,松江市,53331194,
32201,松江市,53331195,
32201,松江市,53331196,
32201,松江市,53331197,
32201,松江市,53332000,
32201,松江市,53332001,
32201,松江市,53332002,
32201,松江市,53332003,
32201,松江市,53332004,
32201,松江市,53332005,
32201,松江市,53332006,
32201,松江市,53332007,
32201,松江市,53332008,
32201,松江市,53332009,
32201,松江市,53332010,
32201,松江市,53332011,
32201,松江市,53332012,
32201,松江市,53332013,
32201,松江市,53332014,
32201,松江市,53332015,
32201,松江市,53332016,
32201,松江市,53332017,
32201,松江市,53332018,
32201,松江市,53332019,
32201,松江市,53332020,
32201,松江市,53332021,
32201,松江市,53332022,
32201,松江市,53332023,
32201,松江市,53332024,
32201,松江市,53332025,
32201,松江市,53332026,
32201,松江市,53332027,
32201,松江市,53332028,
32201,松江市,53332029,
32201,松江市,53332030,
32201,松江市,53332031,
32201,松江市,53332032,
32201,松江市,53332033,
32201,松江市,53332034,
32201,松江市,53332035,
32201,松江市,53332036,
32201,松江市,53332037,
32201,松江市,53332038,
32201,松江市,53332039,
32201,松江市,53332040,
32201,松江市,53332041,
32201,松江市,53332042,
32201,松江市,53332043,
32201,松江市,53332044,
32201,松江市,53332045,
32201,松江市,53332046,
32201,松江市,53332047,
32201,松江市,53332048,
32201,松江市,53332049,
32201,松江市,53332050,
32201,松江市,53332051,
32201,松江市,53332052,
32201,松江市,53332053,
32201,松江市,53332054,
32201,松江市,53332055,
32201,松江市,53332056,
32201,松江市,53332057,
32201,松江市,53332058,
32201,松江市,53332059,
32201,松江市,53332062,
32201,松江市,53332063,
32201,松江市,53332064,
32201,松江市,53332065,
32201,松江市,53332066,
32201,松江市,53332067,
32201,松江市,53332068,
32201,松江市,53332069,
32201,松江市,53332072,
32201,松江市,53332073,
32201,松江市,53332074,
32201,松江市,53332075,
32201,松江市,53332076,
32201,松江市,53332077,
32201,松江市,53332078,
32201,松江市,53332079,
32201,松江市,53332083,
32201,松江市,53332084,
32201,松江市,53332085,
32201,松江市,53332086,
32201,松江市,53332087,
32201,松江市,53332088,
32201,松江市,53332089,
32201,松江市,53332093,
32201,松江市,53332094,
32201,松江市,53332095,
32201,松江市,53332096,
32201,松江市,53332097,
32201,松江市,53332098,
32201,松江市,53332099,
32201,松江市,53332100,
32201,松江市,53332101,
32201,松江市,53332102,
32201,松江市,53332103,
32201,松江市,53332104,
32201,松江市,53332105,
32201,松江市,53332106,
32201,松江市,53332107,
32201,松江市,53332110,
32201,松江市,53332111,
32201,松江市,53332112,
32201,松江市,53332113,
32201,松江市,53332114,
32201,松江市,53332115,
32201,松江市,53332116,
32201,松江市,53332120,
32201,松江市,53332121,
32201,松江市,53332122,
32201,松江市,53332123,
32201,松江市,53332124,
32201,松江市,53332125,
32201,松江市,53332126,
32201,松江市,53332130,
32201,松江市,53332131,
32201,松江市,53332132,
32201,松江市,53332133,
32201,松江市,53332134,
32201,松江市,53332135,
32201,松江市,53332136,
32201,松江市,53332140,
32201,松江市,53332141,
32201,松江市,53332142,
32201,松江市,53332143,
32201,松江市,53332144,
32201,松江市,53332145,
32201,松江市,53332146,
32201,松江市,53332150,
32201,松江市,53332151,
32201,松江市,53332152,
32201,松江市,53332153,
32201,松江市,53332154,
32201,松江市,53332155,
32201,松江市,53332156,
32201,松江市,53332157,
32201,松江市,53332158,
32201,松江市,53332159,
32201,松江市,53332160,
32201,松江市,53332161,
32201,松江市,53332162,
32201,松江市,53332163,
32201,松江市,53332164,
32201,松江市,53332165,
32201,松江市,53332166,
32201,松江市,53332167,
32201,松江市,53332168,
32201,松江市,53332169,
32201,松江市,53332170,
32201,松江市,53332171,
32201,松江市,53332172,
32201,松江市,53332173,
32201,松江市,53332174,
32201,松江市,53332175,
32201,松江市,53332176,
32201,松江市,53332177,
32201,松江市,53332178,
32201,松江市,53332179,
32201,松江市,53332180,
32201,松江市,53332181,
32201,松江市,53332182,
32201,松江市,53332183,
32201,松江市,53332184,
32201,松江市,53332185,
32201,松江市,53332186,
32201,松江市,53332187,
32201,松江市,53332188,
32201,松江市,53332189,
32201,松江市,53332190,
32201,松江市,53332191,
32201,松江市,53332193,
32201,松江市,53332194,
32201,松江市,53332195,
32201,松江市,53332196,
32201,松江市,53332197,
32201,松江市,53332198,
32201,松江市,53332199,
32201,松江市,53332260,
32201,松江市,53332261,
32201,松江市,53332262,
32201,松江市,53332263,
32201,松江市,53332264,
32201,松江市,53332270,
32201,松江市,53332271,
32201,松江市,53332272,
32201,松江市,53332273,
32201,松江市,53332274,
32201,松江市,53332275,
32201,松江市,53332276,
32201,松江市,53332280,
32201,松江市,53332281,
32201,松江市,53332282,
32201,松江市,53332283,
32201,松江市,53332284,
32201,松江市,53332285,
32201,松江市,53332286,
32201,松江市,53332290,
32201,松江市,53332291,
32201,松江市,53332292,
32201,松江市,53332293,
32201,松江市,53332294,
32201,松江市,53333005,
32201,松江市,53333006,
32201,松江市,53333007,
32201,松江市,53333008,
32201,松江市,53333009,
32201,松江市,53333016,
32201,松江市,53333017,
32201,松江市,53333018,
32201,松江市,53333019,
32201,松江市,53333026,
32201,松江市,53333027,
32201,松江市,53333028,
